Date,Start Time,End Time,The GFT Shoppe Atari 50th Anniversary Commemorative Collection,PUNKS Comic,Farm Land by Pixels,Cool Monkes Genesis,MetaHero Universe Planet Tokens,Alpha Kongs Club AKC
March 6th,2022-03-06 0:00:00,2022-03-06 0:59:59,3.0,8.0,0.0,29980.0,0.0,3.0
March 6th,2022-03-06 1:00:00,2022-03-06 1:59:59,0.0,28.0,0.0,0.0,0.0,
March 6th,2022-03-06 2:00:00,2022-03-06 2:59:59,10.0,3.0,0.0,29980.0,0.0,356.0
March 6th,2022-03-06 3:00:00,2022-03-06 3:59:59,0.0,110.0,0.0,10.0,0.0,1.0
March 6th,2022-03-06 4:00:00,2022-03-06 4:59:59,0.0,32.0,0.0,1420.0,0.0,0.0
March 6th,2022-03-06 5:00:00,2022-03-06 5:59:59,0.0,12.0,0.0,0.0,0.0,0.0
March 6th,2022-03-06 6:00:00,2022-03-06 6:59:59,0.0,6.0,0.0,29980.0,0.0,0.0
March 6th,2022-03-06 7:00:00,2022-03-06 7:59:59,2.0,0.0,0.0,0.0,0.0,0.0
March 6th,2022-03-06 8:00:00,2022-03-06 8:59:59,0.0,1.0,3.0,29980.0,0.0,0.0
March 6th,2022-03-06 9:00:00,2022-03-06 9:59:59,0.0,4.0,0.0,0.0,0.0,24.0
March 6th,2022-03-06 10:00:00,2022-03-06 10:59:59,0.0,0.0,0.0,0.0,0.0,4.0
March 6th,2022-03-06 11:00:00,2022-03-06 11:59:59,0.0,2.0,0.0,29980.0,0.0,5.0
March 6th,2022-03-06 12:00:00,2022-03-06 12:59:59,12.0,0.0,0.0,0.0,0.0,0.0
March 6th,2022-03-06 13:00:00,2022-03-06 13:59:59,2.0,0.0,0.0,29980.0,0.0,0.0
March 6th,2022-03-06 14:00:00,2022-03-06 14:59:59,1.0,4.0,0.0,29980.0,0.0,20.0
March 6th,2022-03-06 15:00:00,2022-03-06 15:59:59,4.0,18.0,0.0,29980.0,0.0,2.0
March 6th,2022-03-06 16:00:00,2022-03-06 16:59:59,0.0,10.0,0.0,70.0,0.0,
March 6th,2022-03-06 17:00:00,2022-03-06 17:59:59,8.0,4.0,0.0,0.0,0.0,0.0
March 6th,2022-03-06 18:00:00,2022-03-06 18:59:59,32.0,9.0,0.0,0.0,0.0,20.0
March 6th,2022-03-06 19:00:00,2022-03-06 19:59:59,0.0,0.0,0.0,0.0,0.0,0.0
March 6th,2022-03-06 20:00:00,2022-03-06 20:59:59,0.0,70.0,0.0,0.0,0.0,10.0
March 6th,2022-03-06 21:00:00,2022-03-06 21:59:59,1.0,0.0,0.0,50.0,0.0,0.0
March 6th,2022-03-06 22:00:00,2022-03-06 22:59:59,0.0,0.0,0.0,29960.0,0.0,0.0
March 6th,2022-03-06 23:00:00,2022-03-06 23:59:59,0.0,12.0,0.0,10.0,0.0,392.0
March 7th,2022-03-07 0:00:00,2022-03-07 0:59:59,0.0,0.0,0.0,10.0,0.0,7.0
March 7th,2022-03-07 1:00:00,2022-03-07 1:59:59,1.0,8.0,0.0,50.0,0.0,9.0
March 7th,2022-03-07 2:00:00,2022-03-07 2:59:59,2.0,8.0,0.0,29950.0,0.0,0.0
March 7th,2022-03-07 3:00:00,2022-03-07 3:59:59,0.0,2.0,0.0,10.0,0.0,6.0
March 7th,2022-03-07 4:00:00,2022-03-07 4:59:59,2.0,0.0,1.0,0.0,0.0,0.0
March 7th,2022-03-07 5:00:00,2022-03-07 5:59:59,1.0,46.0,0.0,170.0,0.0,6.0
March 7th,2022-03-07 6:00:00,2022-03-07 6:59:59,0.0,5.0,0.0,0.0,0.0,0.0
March 7th,2022-03-07 7:00:00,2022-03-07 7:59:59,0.0,0.0,0.0,10.0,0.0,
March 7th,2022-03-07 8:00:00,2022-03-07 8:59:59,2.0,10.0,0.0,30.0,0.0,57.0
